Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),CO2 emissions (metric tons per capita),Control of Corruption: Estimate,Government Effectiveness: Estimate,Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,ESG_Proxy,E_Score,S_Score,G_Score,ESG_Final
Late-demographic dividend,,0.9942619001868753,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5838225746132735,0.9942619001868753,0.9942619001868753,0.487251889800151,0.8310875034519173
Moldova,,1.0,,,,0.38871815589382375,0.46561216947521156,0.5307497252427628,,0.4927784547975912,0.5755717010818778,1.0,1.0,0.4748742709664821,0.8309953012965343
Upper middle income,,0.993960702686129,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5837623351131243,0.993960702686129,0.993960702686129,0.487251889800151,0.8308832423419236
South Asia (IDA & IBRD),,0.9937504119422886,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5837202769643561,0.9937504119422886,0.9937504119422886,0.487251889800151,0.8307406308639007
South Asia,,0.9937504119422886,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5837202769643561,0.9937504119422886,0.9937504119422886,0.487251889800151,0.8307406308639007
Kazakhstan,,1.0,,,,0.3918812105995776,0.5327257308836105,0.5223271089261997,,0.4223981660761285,0.5738664432971033,1.0,1.0,0.47262848222528486,0.8302725242003592
Grenada,,0.9408033826638479,,,,0.581673195787545,0.4998174701190252,0.5753075917549769,,0.6740655355622911,0.6543334351775372,0.9408033826638479,0.9408033826638479,0.5941939637613127,0.8292517728860925
Caribbean small states,,0.9912101219710465,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5832122189701077,0.9912101219710465,0.9912101219710465,0.487251889800151,0.8290178992743426
IBRD only,,0.9903662272673572,,,,0.43767118348609846,0.48507279943580006,0.4902908068952206,,0.5118161830623729,0.5830434400293699,0.9903662272673572,0.9903662272673572,0.487251889800151,0.8284456008041817
Jamaica,,0.9756871035940804,,,,0.4274366642904964,0.5887979775049885,0.5291597908589855,,0.4875480821385714,0.6017259236774245,0.9756871035940804,0.9756871035940804,0.5157227485776916,0.8276537223751668
